Epoch,Cost
0,0.6595149636268616
1,0.1329135000705719
2,0.12296169251203537
3,0.11649654805660248
4,0.11343102157115936
5,0.11241153627634048
6,0.11200644075870514
7,0.10910802334547043
8,0.10923176258802414
9,0.1056903675198555
10,0.10648666322231293
11,0.10568107664585114
12,0.10551116615533829
13,0.10428719222545624
14,0.1037660762667656
15,0.103197380900383
16,0.10268033295869827
17,0.1018889918923378
18,0.10166683793067932
19,0.10151868313550949
20,0.10052447021007538
21,0.10091664642095566
22,0.10094645619392395
23,0.10025347769260406
24,0.10128884017467499
25,0.10013971477746964
26,0.0996900275349617
27,0.10035928338766098
28,0.09920588880777359
29,0.09927646815776825
30,0.09998710453510284
31,0.09986098855733871
32,0.09869883954524994
33,0.09874430298805237
34,0.09951268136501312
35,0.09869744628667831
36,0.09876135736703873
37,0.09972383826971054
38,0.09781455248594284
39,0.09856902062892914
40,0.09785973280668259
