Epoch,Cost
0,0.5680578351020813
1,0.11999550461769104
2,0.11177446693181992
3,0.10857943445444107
4,0.10596827417612076
5,0.1043071299791336
6,0.10221614688634872
7,0.10129577666521072
8,0.10086710751056671
9,0.09932221472263336
10,0.09783028066158295
11,0.09757133573293686
12,0.09651315957307816
13,0.09654343873262405
14,0.09529726207256317
15,0.0950266644358635
16,0.09452738612890244
17,0.0939263105392456
18,0.09308209270238876
19,0.09361923485994339
20,0.09251618385314941
21,0.0931309387087822
22,0.09220019727945328
23,0.09331530332565308
24,0.09254344552755356
25,0.09233146160840988
26,0.09167227149009705
27,0.09235775470733643
28,0.09248093515634537
29,0.09069470316171646
30,0.09115622937679291
31,0.09041809290647507
32,0.09040370583534241
33,0.09071910381317139
34,0.09072288125753403
35,0.09044717252254486
36,0.09038138389587402
37,0.09026550501585007
38,0.08934004604816437
39,0.08971911668777466
40,0.08940824121236801
41,0.08957883715629578
42,0.08919046819210052
43,0.08898475766181946
44,0.08880724757909775
45,0.08866416662931442
46,0.08894862979650497
47,0.08974973112344742
48,0.08821732550859451
49,0.08918328583240509
50,0.09087979793548584
51,0.07184723019599915
52,0.07110852003097534
53,0.07066565006971359
54,0.0705118328332901
55,0.0703415647149086
56,0.0701645165681839
57,0.06997771561145782
58,0.06980548799037933
