Epoch,Cost
0,0.44396525621414185
1,0.1592598259449005
2,0.1337985247373581
3,0.14584136009216309
4,0.1330251544713974
5,0.13244090974330902
6,0.1222226545214653
7,0.1216941550374031
8,0.11855517327785492
9,0.1159963458776474
10,0.11324658244848251
11,0.11289486289024353
12,0.11155052483081818
13,0.11086025834083557
14,0.10925062745809555
15,0.10949079692363739
16,0.1077713742852211
17,0.10798871517181396
18,0.10632627457380295
19,0.10801206529140472
20,0.10709892213344574
21,0.10622266680002213
22,0.10682150721549988
23,0.10671208053827286
24,0.10590488463640213
25,0.08091835677623749
26,0.08033090829849243
27,0.07981889694929123
28,0.0795445591211319
29,0.07925058156251907
30,0.07914487272500992
31,0.07881422340869904
32,0.078577421605587
33,0.07847288995981216
34,0.07825087755918503
35,0.07801869511604309
36,0.0778689831495285
37,0.07763291150331497
38,0.07750098407268524
39,0.07737482339143753
40,0.07736451178789139
