Epoch,Cost
0,4.08781623840332
1,0.2125045508146286
2,0.12889422476291656
3,0.11526985466480255
4,0.10804319381713867
5,0.1036500632762909
6,0.10001938790082932
7,0.09732053428888321
8,0.09492291510105133
9,0.09290803968906403
10,0.09110523015260696
11,0.08949961513280869
12,0.08836334198713303
13,0.08738505840301514
14,0.08604011684656143
15,0.08516161143779755
16,0.08459921926259995
17,0.08358112722635269
18,0.08385857939720154
19,0.08268393576145172
20,0.08192556351423264
21,0.0813547894358635
22,0.08078159391880035
23,0.0805056020617485
24,0.08089723438024521
25,0.07986823469400406
26,0.07937437295913696
27,0.07923407107591629
28,0.07860120385885239
29,0.0781862661242485
30,0.07842833548784256
31,0.07755141705274582
32,0.07776584476232529
33,0.07703065127134323
34,0.07675965875387192
35,0.076937735080719
36,0.07661465555429459
37,0.07682934403419495
38,0.07597094029188156
39,0.07634122669696808
40,0.07658202201128006
41,0.07598487287759781
42,0.07534150034189224
43,0.07521270960569382
44,0.075533427298069
45,0.0749339908361435
46,0.07565279304981232
47,0.07502918690443039
48,0.0753127932548523
49,0.07430847734212875
50,0.07439018040895462
51,0.07525833696126938
52,0.07453104853630066
53,0.07481961697340012
54,0.07400171458721161
55,0.07403489202260971
56,0.0744762122631073
57,0.07324296236038208
58,0.07382890582084656
59,0.074019655585289
60,0.07359684258699417
