Epoch,Cost
0,4.095373153686523
1,0.22320909798145294
2,0.12897560000419617
3,0.11530287563800812
4,0.10844365507364273
5,0.10382302850484848
6,0.10033518075942993
7,0.09757502377033234
8,0.09524772316217422
9,0.09336978942155838
10,0.09152065217494965
11,0.08969559520483017
12,0.08839087933301926
13,0.08744943886995316
14,0.08622145652770996
15,0.08541622012853622
16,0.08479458838701248
17,0.08372253179550171
18,0.08415708690881729
19,0.08327633887529373
20,0.08214467018842697
21,0.08158229291439056
22,0.08087820559740067
23,0.08050239831209183
24,0.08031686395406723
25,0.08009073883295059
26,0.07963525503873825
27,0.07933980226516724
28,0.07855843752622604
29,0.07936016470193863
30,0.07818425446748734
31,0.07790276408195496
32,0.0779825821518898
33,0.07713600248098373
34,0.07751155644655228
35,0.07727253437042236
36,0.07681196928024292
37,0.07674235105514526
38,0.07757990807294846
39,0.07689383625984192
40,0.07673381268978119
41,0.07564228773117065
42,0.07550440728664398
43,0.07543463259935379
44,0.07635810971260071
45,0.07496003806591034
46,0.07550031691789627
47,0.07604551315307617
48,0.0746588259935379
49,0.07474994659423828
50,0.07447702437639236
51,0.07422059029340744
52,0.07446308434009552
53,0.07468976825475693
54,0.07445552945137024
